Taxon	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra	taxonomy
d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Natranaerobiales
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	14	8	5	5	5	12	1	5	7	6	9	9	7	8	21	8	4	15	4	11	12	6	3	3	2	0	8	3	5	6	4	12	4	12	7	5	2	2	7	0	0	0	8	8	4	11	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	300	633	229	98	174	117	82	45	172	184	195	166	107	52	257	178	337	199	194	811	175	178	128	74	77	0	290	127	197	460	71	162	349	1002	165	187	141	128	166	2	0	5	147	180	174	248	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales
d__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	0	0	0	0	0	2	1	1	0	1	0	2	0	0	0	1	0	1	0	1	0	1	2	1	2	0	2	0	1	0	0	1	0	0	0	0	1	0	3	0	0	0	1	1	1	0	d__Bacteria; p__Firmicutes; c__Limnochordia; o__Limnochordales
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2	1	0	2	754	9	2	10	1	3	2	196	2	79	5	2	3	13	4	3	1	2	143	0	5	0	4	12	7	5	16	4	4	1	8	3	1	4	3	0	0	0	4	6	2	2	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	11	6	13	23	37	17	185	23	5	10	6	16	4	70	21	20	130	9	3	7	8	12	71	2	14	0	10	13	19	10	68	9	3	130	10	14	3	5	19	1	0	0	14	9	9	7	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	26	76	16	25	1325	13	38	73	560	39	8	14	16	551	350	12	15	15	124	17	26	18	376	5	8	0	24	524	425	4	692	6	10	63	13	49	9	23	35	0	4	0	21	28	16	36	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	54	11	23	8	1	5	10	6	5	3	7	5	5	3	8	5	4	7	116	8	5	4	4	3	4	0	7	14	1	5	2	8	26	17	25	5	3	2	5	2	2	46	4	14	6	52	d__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	8	14	7	5	5	4	3	4	7	6	6	5	7	3	8	1	8	16	5	8	3	7	8	3	2	0	6	4	34	6	0	8	8	19	125	3	6	1	2	0	0	2	1	6	2	9	d__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	1	0	2	2	3	3	1	4	4	0	0	2	1	1	1	0	0	1	1	0	0	0	0	1	3	0	1	0	1	0	1	3	0	0	1	1	1	0	1	0	0	0	4	0	0	1	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales
