# Constructed from biom file
#OTU ID	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._Z16	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._oral_taxon_414	2.0	1.0	2.0	1.0	1.0	2.0	0.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	3.0	2.0	0.0	0.0	4.0	0.0	0.0	11.0	0.0	1.0	0.0	0.0	10.0	27.0	3.0	4.0	3.0	3.0	4.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	11.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp._oral_taxon_897	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	8.0	2.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	6.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Trueperella_pyogenes	0.0	2.0	1.0	0.0	1.0	3.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_actinocoloniiforme	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	1019.0	1.0	209.0	2036.0	1397.0	36.0	3810.0	624.0	30.0	2099.0	11.0	951.0	3154.0	3266.0	66.0	4753.0	0.0	29.0	216.0	2219.0	1263.0	1.0	482.0	7.0	2766.0	0.0	422.0	2912.0	45.0	0.0	7986.0	7479.0	2.0	482.0	4.0	1054.0	125.0	521.0	2879.0	0.0	13.0	11.0	1656.0	4828.0	1.0	75.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	62.0	2.0	2.0	3.0	2.0	1.0	37.0	1210.0	4.0	5.0	1.0	8.0	19.0	16.0	24.0	39.0	0.0	0.0	7.0	5.0	9.0	2.0	5.0	0.0	21.0	0.0	3.0	27.0	5.0	0.0	149.0	51.0	1.0	3.0	1.0	4.0	57.0	22.0	7.0	0.0	0.0	0.0	12.0	12.0	0.0	14.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	3.0	1.0	1.0	0.0	1113.0	2.0	1.0	2.0	1.0	559.0	1.0	0.0	1.0	19.0	3.0	154.0	1.0	0.0	0.0	181.0	35.0	0.0	2.0	0.0	1.0	0.0	5.0	1.0	5.0	0.0	4.0	0.0	1.0	1.0	5.0	0.0	6.0	11.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	43.0	3.0	0.0	10.0	9.0	3.0	479.0	14.0	4.0	456.0	23.0	56.0	853.0	16.0	28.0	11.0	0.0	4.0	5.0	3.0	14.0	1.0	9.0	1.0	13.0	0.0	8.0	35.0	9362.0	2.0	13.0	1071.0	1.0	10.0	2.0	15.0	31.0	1240.0	26.0	0.0	0.0	0.0	4.0	8.0	0.0	35.0
