Taxon	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra	taxonomy
d__Bacteria|p__Planctomycetes|c__Planctomycetia	1	1	2	3	7	6	1	5	0	4	1	5	0	3	4	6	0	6	0	3	4	0	3	2	3	0	2	2	1	3	6	2	0	1	6	1	0	2	2	0	0	0	11	1	2	1	d__Bacteria; p__Planctomycetes; c__Planctomycetia
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia	0	0	0	0	1	2	0	2	0	0	0	1	2	0	1	1	1	3	0	0	0	1	0	1	0	0	1	0	0	1	1	4	0	2	1	0	1	0	3	0	0	0	5	1	0	0	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	64	55	69	45	154	191	67	168	95	55	25	119	88	89	109	206	49	78	33	143	69	73	115	34	92	10	129	64	84	56	167	114	39	92	55	63	48	58	130	2	10	15	227	66	53	49	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria	754	308	1073	179	8580	425	337	339	276	154	135	359	3272	247	690	468	351	372	2426	497	253	2741	369	11223	215	29	462	682	410	709	3574	298	108	797	280	265	169	3367	312	25	40	44	497	409	177	421	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	35	18	88	21	80	240	21	285	38	19	11	45	37	98	50	577	22	35	12	82	21	28	42	127	25	0	44	28	50	41	282	41	15	34	42	27	16	33	122	1	0	2	506	27	20	34	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	11	97	19	18	44	36	62	17	13	45	36	23	54	19	104	13	385	37	14	44	27	22	18	9	45	0	25	22	5	15	12	8	70	158	12	30	46	9	35	0	0	0	14	14	15	57	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	4892	492	1204	361	848	807	478	524	5605	331	226	579	452	480	872	670	516	756	464	929	300	358	810	947	297	18	681	1217	1871	1241	734	397	162	1152	485	474	273	236	596	25	27	112	730	583	238	564	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
d__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	d__Bacteria; p__Proteobacteria; c__Hydrogenophilalia
d__Bacteria|p__Proteobacteria|c__Oligoflexia	0	5	1	2	2	0	3	0	1	1	0	2	1	0	2	1	6	1	1	2	0	0	3	1	2	0	0	1	0	0	0	0	1	3	0	1	1	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Proteobacteria; c__Oligoflexia
d__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	0	0	2	0	0	1	2	1	0	0	0	0	1	0	2	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	d__Bacteria; p__Proteobacteria; c__Zetaproteobacteria
d__Bacteria|p__Spirochaetes|c__Spirochaetia	22	14	16	7	10	23	7	10	9	10	9	17	14	394	21	13	13	11	11	10	3	8	393	8	7	0	16	18	8	11	6	6	2	19	5	11	5	12	9	0	0	0	15	11	10	7	d__Bacteria; p__Spirochaetes; c__Spirochaetia
d__Bacteria|p__Synergistetes|c__Synergistia	1	0	5	3	6	3	0	9	1	7	1	4	5	3	2	7	1	5	0	3	2	1	5	0	1	0	4	1	1	1	3	6	2	1	0	2	1	2	6	0	0	0	6	2	0	2	d__Bacteria; p__Synergistetes; c__Synergistia
d__Bacteria|p__Tenericutes|c__Mollicutes	7	7	9	9	3	6	7	4	4	0	3	9	4	6	13	6	5	4	2	6	4	3	6	5	1	0	3	23	8	9	7	6	3	29	2	5	3	3	3	0	1	0	7	8	3	11	d__Bacteria; p__Tenericutes; c__Mollicutes
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	d__Bacteria; p__Thermodesulfobacteria; c__Thermodesulfobacteria
d__Bacteria|p__Thermotogae|c__Thermotogae	2	1	3	4	1	2	1	1	3	2	1	2	3	1	4	1	1	2	2	1	5	2	1	1	1	0	4	1	1	3	2	0	2	6	4	4	4	1	2	0	0	0	2	0	1	4	d__Bacteria; p__Thermotogae; c__Thermotogae
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Verrucomicrobia; c__Methylacidiphilae
d__Bacteria|p__Verrucomicrobia|c__Opitutae	3	2	0	0	1	7	2	9	2	0	2	1	4	0	1	5	0	0	1	4	4	4	2	3	4	0	2	0	3	0	2	0	1	1	0	1	0	1	2	0	0	0	4	0	0	0	d__Bacteria; p__Verrucomicrobia; c__Opitutae
d__Bacteria|p__Verrucomicrobia|c__Spartobacteria	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Verrucomicrobia; c__Spartobacteria
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	3	2	2	24	458	99	5	3	0	101	213	3	4	172	87	3	2	0	8	1	2	1	10	2	0	639	18	1	1	49	182	0	1	1	4	94	0	13	0	5	0	13	2	2	8	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae
