Taxon	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra	taxonomy
d__Archaea|p__Crenarchaeota|c__Thermoprotei	432	109	463	83	93	163	187	102	91	75	71	172	159	124	239	206	207	190	138	193	95	120	191	251	76	2	211	334	153	387	184	120	53	400	116	146	52	48	115	1	3	5	187	232	61	175	d__Archaea; p__Crenarchaeota; c__Thermoprotei
d__Archaea|p__Euryarchaeota|c__Archaeoglobi	1	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	d__Archaea; p__Euryarchaeota; c__Archaeoglobi
d__Archaea|p__Euryarchaeota|c__Halobacteria	6	2	1	2	5	8	5	7	7	4	3	0	3	5	4	10	3	3	4	2	1	3	4	1	1	0	4	2	3	7	9	5	1	1	3	2	2	3	3	0	1	0	9	1	1	2	d__Archaea; p__Euryarchaeota; c__Halobacteria
d__Archaea|p__Euryarchaeota|c__Methanobacteria	5	3	1	1	1	55	53	245	0	2	0	52	77	42	3	2	4	7	1	38	21	1	51	0	1	0	4	1	4	0	23	204	1	7	1	1	2	0	2	1	0	0	17	14	0	2	d__Archaea; p__Euryarchaeota; c__Methanobacteria
d__Archaea|p__Euryarchaeota|c__Methanococci	0	1	0	0	4	0	1	1	0	0	2	0	1	1	2	2	0	2	1	0	0	0	1	0	0	0	3	1	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	d__Archaea; p__Euryarchaeota; c__Methanococci
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	6	8	2	2	2	3	1	6	7	5	1	1	4	2	7	9	6	5	3	2	1	1	10	0	4	0	7	4	7	3	2	4	2	8	2	1	2	4	3	0	0	0	2	5	5	3	d__Archaea; p__Euryarchaeota; c__Methanomicrobia
d__Archaea|p__Euryarchaeota|c__Thermococci	1	1	0	1	1	1	1	0	0	3	1	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	2	1	1	1	1	0	0	0	0	0	0	2	1	1	0	d__Archaea; p__Euryarchaeota; c__Thermococci
d__Archaea|p__Euryarchaeota|c__Thermoplasmata	0	0	0	0	0	1	0	1	0	0	0	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	d__Archaea; p__Euryarchaeota; c__Thermoplasmata
d__Bacteria|p__Acidobacteria|c__Acidobacteria_subdivision_6	0	0	1	0	0	1	0	2	2	0	1	0	0	0	0	1	1	0	0	2	1	2	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	d__Bacteria; p__Acidobacteria; c__Acidobacteria_subdivision_6
d__Bacteria|p__Acidobacteria|c__Acidobacteriia	2	4	4	2	3	6	2	4	0	2	1	5	2	1	4	5	1	2	0	1	4	3	3	2	3	0	0	3	1	4	2	7	0	2	2	2	1	0	1	0	0	0	6	0	3	1	d__Bacteria; p__Acidobacteria; c__Acidobacteriia
d__Bacteria|p__Acidobacteria|c__Blastocatellia	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	d__Bacteria; p__Acidobacteria; c__Blastocatellia
d__Bacteria|p__Acidobacteria|c__Solibacteres	0	0	0	1	1	4	0	0	0	1	0	2	0	1	0	2	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	d__Bacteria; p__Acidobacteria; c__Solibacteres
d__Bacteria|p__Actinobacteria|c__Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia
d__Bacteria|p__Actinobacteria|c__Actinobacteria	9696	253	774	3194	3178	2367	5308	2574	2051	3713	5569	2149	5719	3957	3767	6250	329	970	1404	5285	1992	195	908	1706	5016	6	1028	5382	36848	599	10035	10081	370	1662	1087	9897	10343	5880	4364	14	153	42	3136	10124	1171	5010	d__Bacteria; p__Actinobacteria; c__Actinobacteria
d__Bacteria|p__Actinobacteria|c__Coriobacteriia	2725	161	416	1054	4084	1052	789	3385	1239	1019	248	462	1249	1124	1290	6433	330	731	446	2866	360	1952	1001	436	2016	4	1229	773	6942	1200	5140	4229	256	285	1132	2883	1235	835	1886	0	0	36	1364	1788	179	1391	d__Bacteria; p__Actinobacteria; c__Coriobacteriia
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria	0	0	2	0	3	0	0	2	2	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	7	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Nitriliruptoria
d__Bacteria|p__Actinobacteria|c__Rubrobacteria	0	3	0	0	0	2	0	3	0	0	1	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Rubrobacteria
d__Bacteria|p__Actinobacteria|c__Thermoleophilia	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	1	0	1	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	d__Bacteria; p__Actinobacteria; c__Thermoleophilia
d__Bacteria|p__Aquificae|c__Aquificae	0	2	1	3	0	2	5	1	1	2	0	2	5	0	4	0	0	5	0	3	1	3	1	2	0	0	1	1	4	2	1	0	1	3	0	0	0	2	1	0	0	0	0	1	3	1	d__Bacteria; p__Aquificae; c__Aquificae
d__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Armatimonadetes; c__Chthonomonadetes
d__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Armatimonadetes; c__Fimbriimonadia
d__Bacteria|p__Bacteroidetes|c__Bacteroidia	9229	4184	8523	5606	4839	3559	2846	294	12253	4974	6875	6770	4051	508	6796	7198	11377	10057	4439	7325	5866	8233	1484	9546	2373	27	9717	4388	4174	26854	1466	975	8133	11844	6981	4442	3726	5476	4540	236	5	298	6614	9411	5924	21114	d__Bacteria; p__Bacteroidetes; c__Bacteroidia
d__Bacteria|p__Bacteroidetes|c__Chitinophagia	3	7	4	5	9	4	10	3	2	19	2	4	6	1	3	3	4	10	4	3	4	4	4	2	2	0	6	27	0	12	3	2	3	4	11	4	3	5	1	0	0	0	3	5	1	3	d__Bacteria; p__Bacteroidetes; c__Chitinophagia
d__Bacteria|p__Bacteroidetes|c__Cytophagia	20	20	19	16	19	24	45	23	16	32	10	8	16	10	18	19	16	24	9	13	12	28	38	18	9	1	25	55	7	37	25	12	5	25	54	17	8	9	20	0	0	0	19	11	15	14	d__Bacteria; p__Bacteroidetes; c__Cytophagia
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia	65	58	52	30	57	30	85	14	41	52	23	51	41	26	78	26	41	93	18	44	35	124	53	34	22	0	89	110	33	88	21	15	60	49	65	40	19	28	23	1	0	0	54	37	39	57	d__Bacteria; p__Bacteroidetes; c__Flavobacteriia
d__Bacteria|p__Bacteroidetes|c__Saprospiria	1	0	0	0	0	1	1	0	0	4	0	1	0	1	0	0	0	2	0	1	0	0	2	0	0	0	0	1	1	2	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	d__Bacteria; p__Bacteroidetes; c__Saprospiria
d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	15	11	9	6	4	5	25	2	5	18	9	2	3	11	9	4	11	10	4	6	2	10	15	2	1	0	9	27	4	21	8	0	0	14	6	7	1	2	4	0	0	0	6	7	0	8	d__Bacteria; p__Bacteroidetes; c__Sphingobacteriia
d__Bacteria|p__Caldiserica|c__Caldisericia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Caldiserica; c__Caldisericia
d__Bacteria|p__Calditrichaeota|c__Calditrichae	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	2	0	1	0	0	0	0	2	1	1	0	d__Bacteria; p__Calditrichaeota; c__Calditrichae
d__Bacteria|p__Chlamydiae|c__Chlamydiia	1	1	0	1	3	0	0	3	0	0	0	2	0	1	0	0	1	2	0	0	1	0	1	0	1	0	1	1	2	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	d__Bacteria; p__Chlamydiae; c__Chlamydiia
d__Bacteria|p__Chlorobi|c__Chlorobia	5	2	5	1	3	4	5	3	1	4	2	4	6	1	1	8	4	3	3	4	4	3	8	4	7	0	1	8	6	4	7	7	3	4	6	4	3	8	5	0	0	0	17	2	2	4	d__Bacteria; p__Chlorobi; c__Chlorobia
d__Bacteria|p__Chloroflexi|c__Anaerolineae	2	1	0	0	1	2	0	2	0	0	0	2	0	2	6	0	0	1	0	0	0	0	2	2	0	0	0	3	0	0	2	0	0	2	0	1	0	2	3	0	0	0	1	1	1	0	d__Bacteria; p__Chloroflexi; c__Anaerolineae
d__Bacteria|p__Chloroflexi|c__Ardenticatenia	1	0	1	0	2	2	0	2	1	0	0	1	2	0	2	2	2	0	0	1	0	0	0	0	1	0	1	0	0	0	3	2	1	0	1	0	0	1	1	0	0	0	0	2	0	1	d__Bacteria; p__Chloroflexi; c__Ardenticatenia
d__Bacteria|p__Chloroflexi|c__Caldilineae	1	0	2	0	0	1	0	1	0	0	0	1	1	0	0	2	0	1	1	0	0	0	1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	d__Bacteria; p__Chloroflexi; c__Caldilineae
d__Bacteria|p__Chloroflexi|c__Chloroflexia	0	0	0	0	1	1	0	3	0	0	0	2	1	4	0	3	0	1	0	1	1	0	6	0	1	0	1	1	1	1	2	3	0	2	1	1	0	0	2	0	0	1	0	1	0	0	d__Bacteria; p__Chloroflexi; c__Chloroflexia
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia	0	1	2	2	7	1	1	1	0	2	0	5	0	3	3	4	0	1	0	1	5	1	2	0	1	0	3	4	2	3	1	4	4	0	4	3	4	1	0	0	0	0	0	1	1	2	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia
d__Bacteria|p__Chloroflexi|c__Thermomicrobia	0	0	0	1	2	1	1	3	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	1	1	3	0	d__Bacteria; p__Chloroflexi; c__Thermomicrobia
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	d__Bacteria; p__Chrysiogenetes; c__Chrysiogenetes
d__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Coprothermobacterota; c__Coprothermobacteria
d__Bacteria|p__Cyanobacteria|c__Gloeobacteria	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Cyanobacteria; c__Gloeobacteria
d__Bacteria|p__Deferribacteres|c__Deferribacteres	0	1	1	2	1	1	2	2	0	1	0	0	1	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Deferribacteres; c__Deferribacteres
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci	4	1	1	5	9	23	4	20	7	2	3	14	3	8	8	14	8	11	1	18	4	4	9	2	4	0	10	1	9	3	14	10	2	9	0	7	2	2	6	0	0	0	20	7	3	1	d__Bacteria; p__Deinococcus-Thermus; c__Deinococci
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	0	1	2	0	0	0	0	0	0	0	0	d__Bacteria; p__Dictyoglomi; c__Dictyoglomia
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Elusimicrobia; c__Elusimicrobia
d__Bacteria|p__Elusimicrobia|c__Endomicrobia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	d__Bacteria; p__Elusimicrobia; c__Endomicrobia
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria	2	0	1	0	0	1	2	1	0	3	0	1	1	1	0	0	6	0	0	1	1	0	2	0	0	0	1	7	0	0	3	2	0	1	4	1	1	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Fibrobacteres; c__Fibrobacteria
d__Bacteria|p__Firmicutes|c__Bacilli	17597	6489	20000	3309	9872	5987	6688	4192	3851	29764	2899	5495	5454	3881	27538	5548	7403	7697	7383	7957	4090	4056	6448	13990	4583	108	7902	13248	5473	13279	5864	3497	15843	16659	9344	4317	2806	2010	4177	172	192	636	6593	8352	2752	8870	d__Bacteria; p__Firmicutes; c__Bacilli
d__Bacteria|p__Firmicutes|c__Clostridia	13398	10106	12118	5111	10989	10396	7590	5133	8608	14902	6021	11633	14366	8515	15660	3281	31241	15109	8873	14783	8868	8951	3279	4151	8235	30	15512	8193	9332	7856	4893	10194	17061	31527	7263	14954	10751	8148	11439	28	19	46	15549	15795	5105	13360	d__Bacteria; p__Firmicutes; c__Clostridia
d__Bacteria|p__Firmicutes|c__Erysipelotrichia	300	633	229	98	174	117	82	45	172	184	195	166	107	52	257	178	337	199	194	811	175	178	128	74	77	0	290	127	197	460	71	162	349	1002	165	187	141	128	166	2	0	5	147	180	174	248	d__Bacteria; p__Firmicutes; c__Erysipelotrichia
d__Bacteria|p__Firmicutes|c__Limnochordia	0	0	0	0	0	2	1	1	0	1	0	2	0	0	0	1	0	1	0	1	0	1	2	1	2	0	2	0	1	0	0	1	0	0	0	0	1	0	3	0	0	0	1	1	1	0	d__Bacteria; p__Firmicutes; c__Limnochordia
d__Bacteria|p__Firmicutes|c__Negativicutes	40	84	30	50	2124	39	229	106	566	53	16	227	24	710	376	35	153	37	131	28	35	32	599	7	28	0	40	553	452	19	777	19	17	194	32	69	13	32	58	1	4	0	41	45	27	46	d__Bacteria; p__Firmicutes; c__Negativicutes
d__Bacteria|p__Firmicutes|c__Tissierellia	54	11	25	8	1	5	11	6	5	3	7	5	5	3	9	5	4	7	123	8	5	4	4	3	4	0	8	15	1	5	2	8	28	18	26	5	3	2	5	2	2	47	4	14	6	56	d__Bacteria; p__Firmicutes; c__Tissierellia
d__Bacteria|p__Fusobacteria|c__Fusobacteriia	8	14	7	5	5	4	3	4	7	6	6	5	7	3	8	1	8	16	5	8	3	7	8	3	2	0	6	4	34	6	0	8	8	19	125	3	6	1	2	0	0	2	1	6	2	9	d__Bacteria; p__Fusobacteria; c__Fusobacteriia
d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	1	0	2	2	3	3	1	4	4	0	0	2	1	1	1	0	0	1	1	0	0	0	0	1	3	0	1	0	1	0	1	3	0	0	1	1	1	0	1	0	0	0	4	0	0	1	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes
d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	1	2	1	0	0	1	0	0	2	0	1	0	0	2	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	d__Bacteria; p__Ignavibacteriae; c__Ignavibacteria
d__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Kiritimatiellaeota; c__Kiritimatiellae
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2	0	48	2	0	7	1	21	0	1	0	2	1	6	1	1	1	14	0	3	2	1	1	0	1	0	2	0	1	1	17	35	2	0	0	0	0	0	0	0	0	0	3	1	1	0	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria
d__Bacteria|p__Nitrospirae|c__Nitrospira	0	2	1	1	0	1	3	1	0	0	0	2	1	2	3	3	1	1	0	1	0	1	1	1	1	0	1	2	1	0	0	2	0	2	2	0	0	0	1	0	0	0	2	0	1	0	d__Bacteria; p__Nitrospirae; c__Nitrospira
d__Bacteria|p__Planctomycetes|c__Phycisphaerae	0	0	1	1	0	2	1	3	1	4	1	1	0	0	0	4	0	1	0	1	0	1	2	0	1	0	1	0	1	0	0	2	1	1	3	0	0	0	1	0	0	0	1	1	0	0	d__Bacteria; p__Planctomycetes; c__Phycisphaerae
